household_key,cate,cate_lower,cate_upper,confident_positive,confident_negative,recommended_action
1012,2.011169013383258,-93.561488122985,97.58382614975147,False,False,A/B Test
1313,-27.476363340281225,-150.39520031316187,95.44247363259937,False,False,A/B Test
1465,35.893157605667355,-22.57430444779635,94.36061965913106,False,False,A/B Test
1784,-6.638296494067873,-126.86325740654321,113.58666441840747,False,False,A/B Test
2180,28.155731966876147,-28.204565093624332,84.51602902737662,False,False,A/B Test
350,63.18518776131665,-7.846306046868456,134.2166815695018,False,False,A/B Test
464,37.49806068951893,-43.937168193927256,118.93328957296512,False,False,A/B Test
258,157.12832811090271,-58.69737242596139,372.9540286477668,False,False,A/B Test
2257,87.35049506384932,-11.95105889159845,186.65204901929707,False,False,A/B Test
153,62.15070418866534,-50.396867066376394,174.69827544370705,False,False,A/B Test
38,9.878420376316194,-108.85466951824193,128.6115102708743,False,False,A/B Test
936,138.6733577746875,-39.71165806704184,317.05837361641693,False,False,A/B Test
1172,63.184075163698424,5.87818606444722,120.48996426294954,False,False,A/B Test
1675,13.884275534274089,-95.02671728946629,122.79526835801443,False,False,A/B Test
1551,11.654154138097901,-119.20379395269094,142.51210222888673,False,False,A/B Test
2074,54.40170881397729,-96.45385710191675,205.25727472987128,False,False,A/B Test
2311,89.87694987039548,-16.461552063959132,196.21545180475005,False,False,A/B Test
1049,25.82286854884087,-59.75510980321552,111.40084690089725,False,False,A/B Test
237,-38.24801997100768,-156.84972075757491,80.35368081555947,False,False,A/B Test
1554,55.260662764727414,14.562021391205711,95.95930413824912,False,False,A/B Test
1998,113.51175184942129,-73.07792580353654,300.10142950237895,False,False,A/B Test
2222,-43.154482410614186,-226.35166882186863,140.0427040006402,False,False,A/B Test
1033,17.888549657058363,-45.00304711705523,80.78014643117196,False,False,A/B Test
1805,83.3629061631836,-25.189538017199553,191.91535034356676,False,False,A/B Test
782,95.46281426195786,9.780116536979705,181.14551198693593,False,False,A/B Test
1109,41.10913951644378,-9.7834239979817,92.00170303086927,False,False,A/B Test
1096,90.32423163045337,27.969066457527546,152.67939680337918,False,False,A/B Test
1189,27.093650927068108,-49.83530359712995,104.02260545126613,False,False,A/B Test
540,35.38121209129004,-81.93799707801375,152.7004212605938,False,False,A/B Test
1452,87.30992228386073,-31.080107297541886,205.6999518652633,False,False,A/B Test
2127,-42.20089937682524,-171.50480972445092,87.1030109708004,False,False,A/B Test
812,28.940838457484436,-201.7180140254717,259.59969094044055,False,False,A/B Test
1867,80.77216283139704,-84.54265654094726,246.0869822037413,False,False,A/B Test
1233,-29.658374090118983,-141.5213154552323,82.20456727499436,False,False,A/B Test
192,19.64903840838634,-106.47305014894853,145.77112696572118,False,False,A/B Test
1427,58.68297269389431,-9.690141044615778,127.05608643240436,False,False,A/B Test
1960,87.28444098134726,8.677911476678403,165.89097048601604,False,False,A/B Test
1079,68.01334290384364,-23.31284692688783,159.33953273457507,False,False,A/B Test
1718,23.128624359816868,-58.782437336198385,105.0396860558321,False,False,A/B Test
1259,1.655395674838303,-41.33340347110607,44.644194820782666,False,False,A/B Test
1683,110.00344729692631,46.985154015327865,173.0217405785247,True,False,Target
2477,-2.1521665543320685,-101.73069797289938,97.42636486423521,False,False,A/B Test
954,11.551656551356883,-175.29004004623923,198.3933531489529,False,False,A/B Test
1359,23.841947579449364,-77.09215076981366,124.77604592871239,False,False,A/B Test
1366,59.38643370232383,-74.15038824013587,192.92325564478352,False,False,A/B Test
1994,46.19571762236054,-30.85392157860212,123.24535682332322,False,False,A/B Test
1485,9.428430344532622,-147.24257671549148,166.09943740455668,False,False,A/B Test
1926,3.7237788412106614,-72.56784863166754,80.01540631408885,False,False,A/B Test
1842,20.500744805897675,-89.75573400423175,130.7572236160271,False,False,A/B Test
625,40.541385516776096,-69.35758364182789,150.44035467538006,False,False,A/B Test
541,-59.77534014073698,-205.00326208762664,85.45258180615266,False,False,A/B Test
2179,14.548801822194028,-76.47202973020907,105.56963337459712,False,False,A/B Test
1080,27.549402010561302,-71.05190204127693,126.15070606239954,False,False,A/B Test
2105,44.31632970906606,-69.25251042385159,157.88516984198367,False,False,A/B Test
1268,-11.977952855076092,-137.17204870389443,113.21614299374224,False,False,A/B Test
172,95.57321717707013,14.618947355845847,176.5274869982944,False,False,A/B Test
257,93.98005669379548,18.410705610734567,169.5494077768564,False,False,A/B Test
570,28.689211269152043,-52.35697372683573,109.7353962651398,False,False,A/B Test
1299,21.090542377298405,-84.53719939792413,126.71828415252097,False,False,A/B Test
465,33.493507699865056,-59.94620903710056,126.93322443683066,False,False,A/B Test
344,-12.278805867919864,-115.19272560818962,90.63511387234985,False,False,A/B Test
1783,34.42174303863929,-37.9159676807336,106.75945375801217,False,False,A/B Test
1129,20.25982988054467,-134.0985019058682,174.61816166695755,False,False,A/B Test
2090,50.36725464367626,4.17682967682898,96.55767961052362,False,False,A/B Test
250,27.60782884003282,-43.31000879922076,98.52566647928634,False,False,A/B Test
1826,71.29878037842373,1.8453303145479225,140.75223044229955,False,False,A/B Test
1523,136.332347935752,-108.60895603961774,381.2736519111217,False,False,A/B Test
1601,-52.396152838716034,-178.24200225893657,73.4496965815045,False,False,A/B Test
974,-35.66711069918673,-146.13027715553076,74.79605575715726,False,False,A/B Test
1983,-33.48423039553715,-198.83988408061094,131.8714232895366,False,False,A/B Test
1859,2.677685118807843,-124.5420636919017,129.89743392951732,False,False,A/B Test
1522,-71.43964009857994,-197.14251906674968,54.263238869589756,False,False,A/B Test
236,54.52697006212027,-68.72507483423382,177.7790149584743,False,False,A/B Test
822,90.53585618150089,40.28809576681995,140.78361659618176,False,False,A/B Test
2046,49.63860286476526,3.9645667774404743,95.31263895209004,False,False,A/B Test
1939,-25.038513946000343,-95.12759705723238,45.05056916523169,False,False,A/B Test
2278,39.15488275689506,-86.07289578461284,164.38266129840292,False,False,A/B Test
2346,27.52244887011125,-69.50144292126832,124.54634066149082,False,False,A/B Test
1715,37.64902633982912,-60.09245489911525,135.3905075787735,False,False,A/B Test
4,7.471411785092693,-61.99336014770979,76.93618371789515,False,False,A/B Test
